time,pos1,pos2,vel1,vel2,tau1,tau2
2.421298542022704794e+02,-2.634088654917228212e-01,3.719386587319740284e-02,-1.716559748470051439e+00,1.907288609411168068e+00,-7.765567765567772396e-01,-4.981684981684963986e-02
2.421318542957305624e+02,-2.672236209658968575e-01,4.062714579995407860e-02,-1.907288609411168068e+00,1.716559748470051439e+00,-7.882783882783889196e-01,-2.637362637362627993e-02
2.421338543891906454e+02,-2.706569008926535957e-01,4.406042572671076130e-02,-1.716559748470051439e+00,1.716559748470051439e+00,-7.706959706959715106e-01,-2.930402930402919992e-03
2.421358544826507284e+02,-2.744716563668276876e-01,4.787518120088484624e-02,-1.907288609411168068e+00,1.907288609411168068e+00,-7.589743589743598307e-01,4.395604395604379988e-02
2.421378545761108114e+02,-2.779049362935844258e-01,5.130846112764153588e-02,-1.716559748470051439e+00,1.716559748470051439e+00,-7.531135531135541017e-01,6.153846153846131983e-02
2.421398546695708944e+02,-2.817196917677584622e-01,5.474174105439821858e-02,-1.907288609411168068e+00,1.716559748470051439e+00,-7.296703296703288544e-01,8.498168498168469365e-02
2.421418550014495565e+02,-2.851529716945151449e-01,5.855649652857231047e-02,-1.716355152552474506e+00,1.907061280613860488e+00,-7.765567765567772396e-01,8.498168498168469365e-02
2.421438550949096395e+02,-2.885862516212718276e-01,6.198977645532899317e-02,-1.716559748470051439e+00,1.716559748470051439e+00,-7.472527472527462633e-01,7.912087912087885366e-02
2.421458554267883017e+02,-2.924010070954459195e-01,6.542305638208567586e-02,-1.907061280613860488e+00,1.716355152552474506e+00,-7.648351648351655596e-01,6.153846153846131983e-02
2.421478555202483847e+02,-2.958342870222026022e-01,6.923781185625976775e-02,-1.716559748470051439e+00,1.907288609411168068e+00,-7.413919413919405343e-01,3.223443223443211991e-02
2.421498556137084677e+02,-2.992675669489592849e-01,7.228961623559904126e-02,-1.716559748470051439e+00,1.525830887528934365e+00,-7.413919413919405343e-01,-2.930402930402919992e-03
2.421518557071685507e+02,-3.027008468757160231e-01,7.572289616235571008e-02,-1.716559748470051439e+00,1.716559748470051439e+00,-7.824175824175831906e-01,-4.395604395604379988e-02
2.421538560390472128e+02,-3.065156023498900595e-01,7.915617608911240666e-02,-1.907061280613860488e+00,1.716355152552474506e+00,-7.648351648351655596e-01,-5.567765567765547985e-02
2.421558561325072958e+02,-3.095674067292293330e-01,8.220798046845168017e-02,-1.525830887528934365e+00,1.525830887528934365e+00,-8.175824175824182305e-01,-6.739926739926715982e-02
2.421578564643859579e+02,-3.130006866559860157e-01,8.602273594262577205e-02,-1.716355152552474506e+00,1.907061280613860488e+00,-8.000000000000005995e-01,-4.981684981684963986e-02
2.421598565578460409e+02,-3.160524910353252892e-01,8.945601586938245475e-02,-1.525830887528934365e+00,1.716559748470051439e+00,-8.000000000000005995e-01,-2.637362637362627993e-02
2.421618566513061239e+02,-3.198672465094993811e-01,9.250782024872172826e-02,-1.907288609411168068e+00,1.525830887528934365e+00,-8.000000000000005995e-01,-1.465201465201459996e-02
2.421638567447662069e+02,-3.233005264362560638e-01,9.632257572289582015e-02,-1.716559748470051439e+00,1.907288609411168068e+00,-7.706959706959715106e-01,3.223443223443211991e-02
2.421658570766448690e+02,-3.267338063630127465e-01,9.937438010223506590e-02,-1.716355152552474506e+00,1.525649024491088301e+00,-8.000000000000005995e-01,6.739926739926715982e-02
2.421678571701049520e+02,-3.297856107423520200e-01,1.028076600289917625e-01,-1.525830887528934365e+00,1.716559748470051439e+00,-7.589743589743598307e-01,8.498168498168469365e-02
2.421698572635650351e+02,-3.332188906691087027e-01,1.058594644083310360e-01,-1.716559748470051439e+00,1.525830887528934365e+00,-7.706959706959715106e-01,9.670329670329637362e-02
2.421718573570251181e+02,-3.366521705958653854e-01,1.089112687876703234e-01,-1.716559748470051439e+00,1.525830887528934365e+00,-7.765567765567772396e-01,9.670329670329637362e-02
2.421738574504852011e+02,-3.397039749752046589e-01,1.119630731670095969e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-7.648351648351655596e-01,9.084249084249054751e-02
2.421758575439452841e+02,-3.427557793545439324e-01,1.153963530937662796e-01,-1.525830887528934365e+00,1.716559748470051439e+00,-7.941391941391948706e-01,6.739926739926715982e-02
2.421778576374053671e+02,-3.461890592813006151e-01,1.184481574731055531e-01,-1.716559748470051439e+00,1.525830887528934365e+00,-7.706959706959715106e-01,3.223443223443211991e-02
2.421798577308654501e+02,-3.492408636606398886e-01,1.214999618524448266e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-7.706959706959715106e-01,2.930402930402919992e-03
2.421818580627441122e+02,-3.522926680399792176e-01,1.249332417792014954e-01,-1.525649024491088301e+00,1.716355152552474506e+00,-8.058608058608065505e-01,-3.223443223443211991e-02
2.421838581562041952e+02,-3.553444724193184356e-01,1.279850461585407828e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-7.941391941391948706e-01,-3.809523809523795990e-02
2.421858582496642782e+02,-3.583962767986576536e-01,1.310368505378800286e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-8.175824175824182305e-01,-4.395604395604379988e-02
2.421878583431243612e+02,-3.614480811779969827e-01,1.337071793698019206e-01,-1.525830887528934365e+00,1.335102026587817514e+00,-8.293040293040299105e-01,-5.567765567765547985e-02
2.421898586750030233e+02,-3.644998855573362562e-01,1.367589837491411942e-01,-1.525649024491088301e+00,1.525649024491088301e+00,-8.058608058608065505e-01,-2.637362637362627993e-02
2.421918587684631063e+02,-3.675516899366755297e-01,1.398107881284804677e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-8.293040293040299105e-01,-1.465201465201459996e-02
2.421938591003417685e+02,-3.706034943160148032e-01,1.424811169604023320e-01,-1.525649024491088301e+00,1.334942896429702319e+00,-8.175824175824182305e-01,8.791208791208759976e-03
2.421958591938018515e+02,-3.736552986953540767e-01,1.455329213397416055e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-8.117216117216125015e-01,4.395604395604379988e-02
2.421978592872619345e+02,-3.767071030746933502e-01,1.485847257190808790e-01,-1.525830887528934365e+00,1.525830887528934365e+00,-8.175824175824182305e-01,7.326007326007301368e-02
2.421998593807220175e+02,-3.797589074540326237e-01,1.508735790035853064e-01,-1.525830887528934365e+00,1.144373165646700885e+00,-7.824175824175831906e-01,8.498168498168469365e-02
2.422018594741821005e+02,-3.824292362859544880e-01,1.539253833829246076e-01,-1.335102026587817514e+00,1.525830887528934365e+00,-7.824175824175831906e-01,1.025641025641021997e-01
2.422038595676421835e+02,-3.850995651178764079e-01,1.565957122148464720e-01,-1.335102026587817514e+00,1.335102026587817514e+00,-8.117216117216125015e-01,1.025641025641021997e-01
2.422058596611022665e+02,-3.881513694972156259e-01,1.592660410467683085e-01,-1.525830887528934365e+00,1.335102026587817514e+00,-7.882783882783889196e-01,9.084249084249054751e-02
2.422078597545623495e+02,-3.908216983291375457e-01,1.619363698786902006e-01,-1.335102026587817514e+00,1.335102026587817514e+00,-7.824175824175831906e-01,9.084249084249054751e-02
2.422098598480224325e+02,-3.934920271610593545e-01,1.646066987106120649e-01,-1.335102026587817514e+00,1.335102026587817514e+00,-8.117216117216125015e-01,7.326007326007301368e-02
2.422118599414825155e+02,-3.961623559929812188e-01,1.668955519951165201e-01,-1.335102026587817514e+00,1.144373165646700885e+00,-7.765567765567772396e-01,4.395604395604379988e-02
2.422138600349425985e+02,-3.988326848249031387e-01,1.691844052796209474e-01,-1.335102026587817514e+00,1.144373165646700885e+00,-7.882783882783889196e-01,2.637362637362627993e-02
2.422158601284026815e+02,-4.015030136568249475e-01,1.718547341115428395e-01,-1.335102026587817514e+00,1.335102026587817514e+00,-8.410256410256415904e-01,2.930402930402919992e-03
2.422178604602813436e+02,-4.041733424887468118e-01,1.741435873960472669e-01,-1.334942896429702319e+00,1.144236768368316337e+00,-8.117216117216125015e-01,-2.051282051282043994e-02
2.422198605537414267e+02,-4.068436713206687316e-01,1.768139162279691590e-01,-1.335102026587817514e+00,1.335102026587817514e+00,-8.058608058608065505e-01,-3.223443223443211991e-02
2.422218606472015097e+02,-4.091325246051731312e-01,1.787212939650562049e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-8.527472527472531594e-01,-3.809523809523795990e-02
2.422238607406615927e+02,-4.114213778896775864e-01,1.813916227969780692e-01,-1.144373165646700885e+00,1.335102026587817514e+00,-8.410256410256415904e-01,-2.051282051282043994e-02
2.422258608341216757e+02,-4.140917067215994507e-01,1.836804760814824689e-01,-1.335102026587817514e+00,1.144373165646700885e+00,-8.293040293040299105e-01,-3.223443223443211991e-02
2.422278609275817587e+02,-4.163805600061039058e-01,1.859693293659869517e-01,-1.144373165646700885e+00,1.144373165646700885e+00,-8.175824175824182305e-01,-2.930402930402919992e-03
2.422298610210418417e+02,-4.186694132906084165e-01,1.878767071030739977e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-8.468864468864473194e-01,2.930402930402919992e-03
2.422318611145019247e+02,-4.209582665751128161e-01,1.901655603875784806e-01,-1.144373165646700885e+00,1.144373165646700885e+00,-8.293040293040299105e-01,2.637362637362627993e-02
2.422338612079620077e+02,-4.232471198596172712e-01,1.920729381246655265e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-8.117216117216125015e-01,3.809523809523795990e-02
2.422358613014220907e+02,-4.255359731441216709e-01,1.943617914091700094e-01,-1.144373165646700885e+00,1.144373165646700885e+00,-8.175824175824182305e-01,5.567765567765547985e-02
2.422378613948821737e+02,-4.278248264286261815e-01,1.962691691462570276e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-8.058608058608065505e-01,6.739926739926715982e-02
2.422398614883422567e+02,-4.301136797131305811e-01,1.981765468833440735e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-8.000000000000005995e-01,8.498168498168469365e-02
2.422418615818023397e+02,-4.324025329976351473e-01,2.000839246204311195e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-7.941391941391948706e-01,8.498168498168469365e-02
2.422438616752624228e+02,-4.343099107347220822e-01,2.019913023575181654e-01,-9.536443047055840339e-01,9.536443047055840339e-01,-8.175824175824182305e-01,9.670329670329637362e-02
2.422458617687225058e+02,-4.365987640192265373e-01,2.038986800946052114e-01,-1.144373165646700885e+00,9.536443047055840339e-01,-7.941391941391948706e-01,1.025641025641021997e-01
2.422478618621825888e+02,-4.385061417563135833e-01,2.058060578316922296e-01,-9.536443047055840339e-01,9.536443047055840339e-01,-8.000000000000005995e-01,1.084249084249080397e-01
