time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.726399999999576806e+01,-9.276241275059415869e+00,-2.644529307839139065e+01,-3.045417119874523348e-01,5.865824867514518814e+00,0.000000000000000000e+00,1.602696716953129208e-01
2.726599999999576696e+01,-9.276870858112719276e+00,-2.643358773679839757e+01,-3.248959288885648888e-01,5.839419715259633215e+00,0.000000000000000000e+00,1.634903434316295756e-01
2.726799999999576585e+01,-9.277540419013242001e+00,-2.642193549779761952e+01,-3.445227041644419730e-01,5.812724689139709078e+00,0.000000000000000000e+00,1.666787176619604072e-01
2.726999999999576474e+01,-9.278248521435816798e+00,-2.641033692725940440e+01,-3.634405649484297451e-01,5.785753667607008488e+00,0.000000000000000000e+00,1.698312864431146263e-01
2.727199999999576363e+01,-9.278993765759157242e+00,-2.639879256363327897e+01,-3.816676878001297180e-01,5.758520193343652060e+00,0.000000000000000000e+00,1.729446572254552117e-01
2.727399999999576252e+01,-9.279774788364527183e+00,-2.638730291861567423e+01,-3.992218985647440488e-01,5.731037477011245329e+00,0.000000000000000000e+00,1.760155564885676760e-01
2.727599999999576141e+01,-9.280590260934669544e+00,-2.637586847780996990e+01,-4.161206727760692337e-01,5.703318401191865838e+00,0.000000000000000000e+00,1.790408328543391381e-01
2.727799999999576031e+01,-9.281438889754049626e+00,-2.636448970137848491e+01,-4.323811365632609371e-01,5.675375524504655544e+00,0.000000000000000000e+00,1.820174597049392939e-01
2.727999999999575920e+01,-9.282319415011386354e+00,-2.635316702468605499e+01,-4.480200680236522404e-01,5.647221085883452396e+00,0.000000000000000000e+00,1.849425373248394511e-01
2.728199999999575809e+01,-9.283230610105361436e+00,-2.634190085893493460e+01,-4.630538990256440890e-01,5.618867009001221824e+00,0.000000000000000000e+00,1.878132945850368163e-01
2.728399999999575698e+01,-9.284171280954334193e+00,-2.633069159179070340e+01,-4.774987174073114793e-01,5.590324906827274454e+00,0.000000000000000000e+00,1.906270901969430998e-01
2.728599999999575587e+01,-9.285140265310813490e+00,-2.631953958799895332e+01,-4.913702695383355690e-01,5.561606086304283103e+00,0.000000000000000000e+00,1.933814135544078827e-01
2.728799999999575476e+01,-9.286136432081404379e+00,-2.630844518999249715e+01,-5.046839632143913512e-01,5.532721553132288861e+00,0.000000000000000000e+00,1.960738851857684317e-01
2.728999999999575365e+01,-9.287158680652831677e+00,-2.629740871848893491e+01,-5.174548708547270781e-01,5.503682016647355901e+00,0.000000000000000000e+00,1.987022568447284199e-01
2.729199999999575255e+01,-9.288205940224647961e+00,-2.628643047307837222e+01,-5.296977329755463426e-01,5.474497894783680429e+00,0.000000000000000000e+00,2.012644112449024913e-01
2.729399999999575144e+01,-9.289277169149141145e+00,-2.627551073280115190e+01,-5.414269619125269273e-01,5.445179319106781435e+00,0.000000000000000000e+00,2.037583614811438737e-01
2.729599999999575033e+01,-9.290371354278907035e+00,-2.626464975671544977e+01,-5.526566457682455802e-01,5.415736139907929569e+00,0.000000000000000000e+00,2.061822501429570742e-01
2.729799999999574922e+01,-9.291487510322522070e+00,-2.625384778445464207e+01,-5.634005525609354637e-01,5.386177931348883341e+00,0.000000000000000000e+00,2.085343481487257900e-01
2.729999999999574811e+01,-9.292624679208698169e+00,-2.624310503677433815e+01,-5.736721345526996085e-01,5.356513996647183973e+00,0.000000000000000000e+00,2.108130533154732311e-01
2.730199999999574700e+01,-9.293781929459253632e+00,-2.623242171608902851e+01,-5.834845327363091805e-01,5.326753373292116400e+00,0.000000000000000000e+00,2.130168886897637059e-01
2.730399999999574590e+01,-9.294958355571194986e+00,-2.622179800699826302e+01,-5.928505814612067271e-01,5.296904838282419092e+00,0.000000000000000000e+00,2.151445006542407890e-01
2.730599999999574479e+01,-9.296153077408172649e+00,-2.621123407680234862e+01,-6.017828131802670510e-01,5.266976913376717029e+00,0.000000000000000000e+00,2.171946568347134787e-01
2.730799999999574368e+01,-9.297365239601539599e+00,-2.620073007600755233e+01,-6.102934633002805587e-01,5.236977870348670905e+00,0.000000000000000000e+00,2.191662438170486893e-01
2.730999999999574257e+01,-9.298594010961197753e+00,-2.619028613882079171e+01,-6.183944751197506529e-01,5.206915736238284076e+00,0.000000000000000000e+00,2.210582647008727808e-01
2.731199999999574146e+01,-9.299838583896388400e+00,-2.617990238363383071e+01,-6.260975048390703401e-01,5.176798298592147241e+00,0.000000000000000000e+00,2.228698365011952398e-01
2.731399999999574035e+01,-9.301098173846567008e+00,-2.616957891349703047e+01,-6.334139266288266734e-01,5.146633110685158385e+00,0.000000000000000000e+00,2.246001874165810264e-01
2.731599999999573924e+01,-9.302372018722463665e+00,-2.615931581658266936e+01,-6.403548377430204885e-01,5.116427496716847934e+00,0.000000000000000000e+00,2.262486539787285367e-01
2.731799999999573814e+01,-9.303659378357389542e+00,-2.614911316663791752e+01,-6.469310636648267776e-01,5.086188556975712594e+00,0.000000000000000000e+00,2.278146780999569243e-01
2.731999999999573703e+01,-9.304959533968869323e+00,-2.613897102342750856e+01,-6.531531632734381976e-01,5.055923172965462342e+00,0.000000000000000000e+00,2.292978040310270638e-01
2.732199999999573592e+01,-9.306271787630617354e+00,-2.612888943316621848e+01,-6.590314340212386490e-01,5.025638012487224415e+00,0.000000000000000000e+00,2.306976752447235657e-01
2.732399999999573481e+01,-9.307595461754857524e+00,-2.611886842894121585e+01,-6.645759171114057340e-01,4.995339534672289972e+00,0.000000000000000000e+00,2.320140312576056962e-01
2.732599999999573370e+01,-9.308929898585002860e+00,-2.610890803112442171e+01,-6.697964026667370119e-01,4.965033994960249331e+00,0.000000000000000000e+00,2.332467044016794389e-01
2.732799999999573259e+01,-9.310274459698650418e+00,-2.609900824777495743e+01,-6.747024348811574423e-01,4.934727450017640571e+00,0.000000000000000000e+00,2.343956165590636576e-01
2.732999999999573149e+01,-9.311628525520848854e+00,-2.608916907503183324e+01,-6.793033171460985953e-01,4.904425762592724780e+00,0.000000000000000000e+00,2.354607758697928321e-01
2.733199999999573038e+01,-9.312991494847597806e+00,-2.607939049749698057e+01,-6.836081171445199667e-01,4.874134606302227724e+00,0.000000000000000000e+00,2.364422734233127266e-01
2.733399999999572927e+01,-9.314362784379486726e+00,-2.606967248860880915e+01,-6.876256719059524736e-01,4.843859470346244755e+00,0.000000000000000000e+00,2.373402799427456744e-01
2.733599999999572816e+01,-9.315741828265400315e+00,-2.606001501100638862e+01,-6.913645928164732224e-01,4.813605664147738494e+00,0.000000000000000000e+00,2.381550424731607718e-01
2.733799999999572705e+01,-9.317128077656199991e+00,-2.605041801688444281e+01,-6.948332705781770091e-01,4.783378321913636988e+00,0.000000000000000000e+00,2.388868810799223141e-01
2.733999999999572594e+01,-9.318521000268260579e+00,-2.604088144833929874e+01,-6.980398801130943687e-01,4.753182407114557861e+00,0.000000000000000000e+00,2.395361855662799244e-01
2.734199999999572483e+01,-9.319920079956755643e+00,-2.603140523770596459e+01,-7.009923854070581051e-01,4.723022716880660887e+00,0.000000000000000000e+00,2.401034122180474573e-01
2.734399999999572373e+01,-9.321324816298574234e+00,-2.602198930788650344e+01,-7.036985442895152820e-01,4.692903886311478701e+00,0.000000000000000000e+00,2.405890805795128928e-01
2.734599999999572262e+01,-9.322734724184716271e+00,-2.601263357266987342e+01,-7.061659131455748639e-01,4.662830392697576265e+00,0.000000000000000000e+00,2.409937702715644336e-01
2.734799999999572151e+01,-9.324149333422054653e+00,-2.600333793704342611e+01,-7.084018515572648722e-01,4.632806559652745904e+00,0.000000000000000000e+00,2.413181178511696334e-01
2.734999999999572040e+01,-9.325568188344295351e+00,-2.599410229749621593e+01,-7.104135268709979023e-01,4.602836561154955319e+00,0.000000000000000000e+00,2.415628137244711371e-01
2.735199999999571929e+01,-9.326990847432002241e+00,-2.598492654231433008e+01,-7.122079186890218905e-01,4.572924425495386025e+00,0.000000000000000000e+00,2.417285991124115130e-01
2.735399999999571818e+01,-9.328416882941523269e+00,-2.597581055186841681e+01,-7.137918232826541143e-01,4.543074039134490150e+00,0.000000000000000000e+00,2.418162630763261711e-01
2.735599999999571708e+01,-9.329845880542663394e+00,-2.596675419889358949e+01,-7.151718579256189923e-01,4.513289150464639299e+00,0.000000000000000000e+00,2.418266396059224888e-01
2.735799999999571597e+01,-9.331277438964944437e+00,-2.595775734876191265e+01,-7.163544651460426183e-01,4.483573373479032398e+00,0.000000000000000000e+00,2.417606047720257667e-01
2.735999999999571486e+01,-9.332711169652283090e+00,-2.594881985974762273e+01,-7.173459168959011034e-01,4.453930191346663570e+00,0.000000000000000000e+00,2.416190739514718910e-01
2.736199999999571375e+01,-9.334146696425928980e+00,-2.593994158328531441e+01,-7.181523186372600343e-01,4.424362959893939795e+00,0.000000000000000000e+00,2.414029991192358227e-01
2.736399999999571264e+01,-9.335583655155485161e+00,-2.593112236422124894e+01,-7.187796133444634972e-01,4.394874910992833783e+00,0.000000000000000000e+00,2.411133662167752323e-01
2.736599999999571153e+01,-9.337021693437849379e+00,-2.592236204105797981e+01,-7.192335854220812674e-01,4.365469155856537498e+00,0.000000000000000000e+00,2.407511925950587828e-01
2.736799999999571043e+01,-9.338460470283914461e+00,-2.591366044619248044e+01,-7.195198645384550673e-01,4.336148688243367744e+00,0.000000000000000000e+00,2.403175245326744647e-01
2.736999999999570932e+01,-9.339899655812839541e+00,-2.590501740614795523e+01,-7.196439293748284616e-01,4.306916387569729388e+00,0.000000000000000000e+00,2.398156217301143645e-01
2.737199999999570821e+01,-9.341338931090573894e+00,-2.589643274151483254e+01,-7.196112484474062043e-01,4.277775307203312671e+00,0.000000000000000000e+00,2.392419149464418415e-01
2.737399999999570710e+01,-9.342777987686160301e+00,-2.588790626748874857e+01,-7.194268557218035376e-01,4.248727786755035929e+00,0.000000000000000000e+00,2.386000442163928037e-01
2.737599999999570599e+01,-9.344216527251800741e+00,-2.587943779436685077e+01,-7.190958008516517008e-01,4.219776385230364468e+00,0.000000000000000000e+00,2.378911280983962151e-01
2.737799999999570488e+01,-9.345654261400881069e+00,-2.587102712743305943e+01,-7.186229954467413528e-01,4.190923556315465426e+00,0.000000000000000000e+00,2.371163214796870311e-01
2.737999999999570377e+01,-9.347090911436366056e+00,-2.586267406716364192e+01,-7.180132175633319180e-01,4.162171653465414956e+00,0.000000000000000000e+00,2.362767950205175160e-01
2.738199999999570267e+01,-9.348526208086946454e+00,-2.585437840942508458e+01,-7.172711149603900882e-01,4.133522932506733305e+00,0.000000000000000000e+00,2.353737332487689793e-01
2.738399999999570156e+01,-9.349959891249625343e+00,-2.584613994566685236e+01,-7.164012082784511071e-01,4.104979554164005506e+00,0.000000000000000000e+00,2.344083326998220584e-01
2.738599999999570045e+01,-9.351391709738575031e+00,-2.583795846310915678e+01,-7.154078941402725045e-01,4.076543586508327266e+00,0.000000000000000000e+00,2.333818001380083273e-01
2.738799999999569934e+01,-9.352821421040125927e+00,-2.582983374492590301e+01,-7.142954481748717832e-01,4.048217007330270789e+00,0.000000000000000000e+00,2.322953508549837620e-01
2.738999999999569823e+01,-9.354248791073722202e+00,-2.582176557042298271e+01,-7.130680279663892396e-01,4.020001706439633615e+00,0.000000000000000000e+00,2.311502070410339782e-01
2.739199999999569712e+01,-9.355673593958709233e+00,-2.581375371521201956e+01,-7.117296759290906438e-01,3.991899487893909360e+00,0.000000000000000000e+00,2.299475962341347990e-01
2.739399999999569602e+01,-9.357095611786789391e+00,-2.580579795137973775e+01,-7.102843221102815852e-01,3.963912072158266575e+00,0.000000000000000000e+00,2.286887498399209073e-01
2.739599999999569491e+01,-9.358514634400016519e+00,-2.579789804765306371e+01,-7.087357869225930918e-01,3.936041098199118071e+00,0.000000000000000000e+00,2.273749017259743266e-01
2.739799999999569380e+01,-9.359930459174190531e+00,-2.579005376956012441e+01,-7.070877838074588473e-01,3.908288125514050915e+00,0.000000000000000000e+00,2.260072868837586235e-01
2.739999999999569269e+01,-9.361342890807502926e+00,-2.578226487958723467e+01,-7.053439218312965719e-01,3.880654636100189681e+00,0.000000000000000000e+00,2.245871401595320727e-01
2.740199999999569158e+01,-9.362751741114317738e+00,-2.577453113733200851e+01,-7.035077082161206308e-01,3.853142036363465195e+00,0.000000000000000000e+00,2.231156950540688910e-01
2.740399999999569047e+01,-9.364156828823944068e+00,-2.576685229965270807e+01,-7.015825508064362781e-01,3.825751658971483504e+00,0.000000000000000000e+00,2.215941825861297010e-01
2.740599999999568936e+01,-9.365557979384281140e+00,-2.575922812081394397e+01,-6.995717604740492312e-01,3.798484764652197310e+00,0.000000000000000000e+00,2.200238302200686336e-01
2.740799999999568826e+01,-9.366955024770211580e+00,-2.575165835262882652e+01,-6.974785534625715933e-01,3.771342543940864100e+00,0.000000000000000000e+00,2.184058608552840453e-01
2.740999999999568715e+01,-9.368347803296632748e+00,-2.574414274459767782e+01,-6.953060536733748354e-01,3.744326118877688181e+00,0.000000000000000000e+00,2.167414918743453267e-01
2.741199999999568604e+01,-9.369736159435989364e+00,-2.573668104404338308e+01,-6.930572948946337464e-01,3.717436544658300868e+00,0.000000000000000000e+00,2.150319342512776177e-01
2.741399999999568493e+01,-9.371119943640223937e+00,-2.572927299624350894e+01,-6.907352229753267459e-01,3.690674811239681663e+00,0.000000000000000000e+00,2.132783917132535789e-01
2.741599999999568382e+01,-9.372499012167008203e+00,-2.572191834455922432e+01,-6.883426979456981343e-01,3.664041844903360712e+00,0.000000000000000000e+00,2.114820599601579254e-01
2.741799999999568271e+01,-9.373873226910173884e+00,-2.571461683056115533e+01,-6.858824960861095166e-01,3.637538509778616369e+00,0.000000000000000000e+00,2.096441259328258033e-01
2.741999999999568161e+01,-9.375242455234225503e+00,-2.570736819415222385e+01,-6.833573119456670675e-01,3.611165609327250170e+00,0.000000000000000000e+00,2.077657671347399593e-01
2.742199999999568050e+01,-9.376606569812844683e+00,-2.570017217368755169e+01,-6.807697603124478469e-01,3.584923887792429653e+00,0.000000000000000000e+00,2.058481509999478265e-01
2.742399999999567939e+01,-9.377965448471284660e+00,-2.569302850609150823e+01,-6.781223781367355929e-01,3.558814031613233730e+00,0.000000000000000000e+00,2.038924343103092063e-01
2.742599999999567828e+01,-9.379318974032571532e+00,-2.568593692697194797e+01,-6.754176264089921666e-01,3.532836670807192103e+00,0.000000000000000000e+00,2.018997626556825187e-01
2.742799999999567717e+01,-9.380667034167409213e+00,-2.567889717073172662e+01,-6.726578919939252277e-01,3.506992380322362379e+00,0.000000000000000000e+00,1.998712699385397640e-01
2.742999999999567606e+01,-9.382009521247718808e+00,-2.567190897067753141e+01,-6.698454894222095612e-01,3.481281681360901104e+00,0.000000000000000000e+00,1.978080779197380346e-01
2.743199999999567495e+01,-9.383346332203718276e+00,-2.566497205912609658e+01,-6.669826626412652670e-01,3.455705042675775385e+00,0.000000000000000000e+00,1.957112958021750282e-01
2.743399999999567385e+01,-9.384677368384458873e+00,-2.565808616750785376e+01,-6.640715867263450312e-01,3.430262881841960709e+00,0.000000000000000000e+00,1.935820198563701910e-01
2.743599999999567274e+01,-9.386002535421750892e+00,-2.565125102646804578e+01,-6.611143695535511844e-01,3.404955566504248576e+00,0.000000000000000000e+00,1.914213330777918276e-01
2.743799999999567163e+01,-9.387321743097398752e+00,-2.564446636596539619e+01,-6.581130534357410022e-01,3.379783415602426899e+00,0.000000000000000000e+00,1.892303048813178123e-01
2.743999999999567052e+01,-9.388634905213669057e+00,-2.563773191536831320e+01,-6.550696167227414435e-01,3.354746700575566898e+00,0.000000000000000000e+00,1.870099908294381996e-01
2.744199999999566941e+01,-9.389941939466924126e+00,-2.563104740354874167e+01,-6.519859753671212177e-01,3.329845646546821136e+00,0.000000000000000000e+00,1.847614323885912735e-01
2.744399999999566830e+01,-9.391242767324358809e+00,-2.562441255897362780e+01,-6.488639844564155768e-01,3.305080433489399283e+00,0.000000000000000000e+00,1.824856567193995638e-01
2.744599999999566720e+01,-9.392537313903766005e+00,-2.561782710979410282e+01,-6.457054397131970491e-01,3.280451197375465089e+00,0.000000000000000000e+00,1.801836764913913869e-01
2.744799999999566609e+01,-9.393825507856272239e+00,-2.561129078393235758e+01,-6.425120789637435159e-01,3.255958031308362699e+00,0.000000000000000000e+00,1.778564897276579682e-01
2.744999999999566498e+01,-9.395107281251977582e+00,-2.560480330916628233e+01,-6.392855835765244299e-01,3.231600986639586282e+00,0.000000000000000000e+00,1.755050796736754293e-01
2.745199999999566387e+01,-9.396382569468448409e+00,-2.559836441321187905e+01,-6.360275798713515005e-01,3.207380074071146225e+00,0.000000000000000000e+00,1.731304146907480246e-01
2.745399999999566276e+01,-9.397651311081997250e+00,-2.559197382380348884e+01,-6.327396405001306512e-01,3.183295264744186781e+00,0.000000000000000000e+00,1.707334481715618302e-01
2.745599999999566165e+01,-9.398913447761692908e+00,-2.558563126877185212e+01,-6.294232858000154973e-01,3.159346491314457772e+00,0.000000000000000000e+00,1.683151184787173571e-01
2.745799999999566054e+01,-9.400168924166059981e+00,-2.557933647612003369e+01,-6.260799851198816102e-01,3.135533649015496138e+00,0.000000000000000000e+00,1.658763489017681114e-01
2.745999999999565944e+01,-9.401417687842396731e+00,-2.557308917409721616e+01,-6.227111581207497304e-01,3.111856596709800193e+00,0.000000000000000000e+00,1.634180476355094058e-01
2.746199999999565833e+01,-9.402659689128674003e+00,-2.556688909127042919e+01,-6.193181760510462208e-01,3.088315157928833266e+00,0.000000000000000000e+00,1.609411077742035900e-01
2.746399999999565722e+01,-9.403894881057953015e+00,-2.556073595659418274e+01,-6.159023629972263381e-01,3.064909121901965072e+00,0.000000000000000000e+00,1.584464073249987615e-01
2.746599999999565611e+01,-9.405123219265291823e+00,-2.555462949947806806e+01,-6.124649971105839974e-01,3.041638244575094241e+00,0.000000000000000000e+00,1.559348092349575887e-01
2.746799999999565500e+01,-9.406344661897072967e+00,-2.554856944985233369e+01,-6.090073118106843486e-01,3.018502249618911559e+00,0.000000000000000000e+00,1.534071614342197853e-01
2.746999999999565389e+01,-9.407559169522720310e+00,-2.554255553823143643e+01,-6.055304969660909586e-01,2.995500829427277356e+00,0.000000000000000000e+00,1.508642968937380369e-01
2.747199999999565279e+01,-9.408766705048753565e+00,-2.553658749577562403e+01,-6.020357000529854563e-01,2.972633646106043859e+00,0.000000000000000000e+00,1.483070336932769406e-01
2.747399999999565168e+01,-9.409967233635134320e+00,-2.553066505435053557e+01,-5.985240272919741811e-01,2.949900332452052965e+00,0.000000000000000000e+00,1.457361751056071575e-01
2.747599999999565057e+01,-9.411160722613876928e+00,-2.552478794658486549e+01,-5.949965447638856375e-01,2.927300492923111008e+00,0.000000000000000000e+00,1.431525096872758307e-01
2.747799999999564946e+01,-9.412347141409854956e+00,-2.551895590592608443e+01,-5.914542795046406898e-01,2.904833704598260180e+00,0.000000000000000000e+00,1.405568113838457922e-01
2.747999999999564835e+01,-9.413526461463790795e+00,-2.551316866669425210e+01,-5.878982205799395677e-01,2.882499518129067795e+00,0.000000000000000000e+00,1.379498396416396211e-01
2.748199999999564724e+01,-9.414698656157362677e+00,-2.550742596413394381e+01,-5.843293201399132331e-01,2.860297458681428928e+00,0.000000000000000000e+00,1.353323395302990229e-01
2.748399999999564614e+01,-9.415863700740414899e+00,-2.550172753446429041e+01,-5.807484944542635752e-01,2.838227026868176850e+00,0.000000000000000000e+00,1.327050418727971637e-01
2.748599999999564503e+01,-9.417021572260205531e+00,-2.549607311492717088e+01,-5.771566249281858685e-01,2.816287699672342715e+00,0.000000000000000000e+00,1.300686633822546456e-01
